DBN,School Name,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
20K102,P.S. 102 The Bayview,2010-11,1181,0,196,196,209,210,190,180,0,0,0,0,0,0,0,573,48.5%,608,51.5%,182,15.4%,26,2.2%,320,27.1%,7,0.6%,646,54.7%,200,16.9%,161,13.6%,1181,100.0%
20K102,P.S. 102 The Bayview,2011-12,1296,0,241,212,216,213,219,195,0,0,0,0,0,0,0,620,47.8%,676,52.2%,171,13.2%,12,0.9%,332,25.6%,4,0.3%,777,60.0%,231,17.8%,175,13.5%,871,67.2%
20K102,P.S. 102 The Bayview,2012-13,1322,0,246,244,208,209,212,203,0,0,0,0,0,0,0,639,48.3%,683,51.7%,200,15.1%,10,0.8%,329,24.9%,12,0.9%,771,58.3%,218,16.5%,178,13.5%,891,67.4%
20K102,P.S. 102 The Bayview,2013-14,1352,0,231,227,250,215,214,215,0,0,0,0,0,0,0,650,48.1%,702,51.9%,195,14.4%,14,1.0%,338,25.0%,13,1.0%,792,58.6%,221,16.3%,179,13.2%,920,68.0%
20K102,P.S. 102 The Bayview,2014-15,1388,0,264,236,217,246,217,208,0,0,0,0,0,0,0,672,48.4%,716,51.6%,204,14.7%,14,1.0%,345,24.9%,27,1.9%,798,57.5%,214,15.4%,198,14.3%,914,65.9%
20K104,P.S./I.S. 104 The Fort Hamilton School,2010-11,1251,0,93,146,152,143,136,139,140,141,161,0,0,0,0,588,47.0%,663,53.0%,211,16.9%,59,4.7%,314,25.1%,13,1.0%,654,52.3%,108,8.6%,134,10.7%,1251,100.0%
20K104,P.S./I.S. 104 The Fort Hamilton School,2011-12,1207,0,103,100,133,152,150,143,141,141,144,0,0,0,0,559,46.3%,648,53.7%,208,17.2%,48,4.0%,328,27.2%,9,0.7%,614,50.9%,124,10.3%,114,9.4%,1207,100.0%
20K104,P.S./I.S. 104 The Fort Hamilton School,2012-13,1210,0,133,115,104,129,151,144,146,139,149,0,0,0,0,560,46.3%,650,53.7%,220,18.2%,51,4.2%,325,26.9%,16,1.3%,598,49.4%,136,11.2%,123,10.2%,826,68.3%
20K104,P.S./I.S. 104 The Fort Hamilton School,2013-14,1181,0,106,124,121,105,131,145,159,148,142,0,0,0,0,549,46.5%,632,53.5%,218,18.5%,49,4.1%,316,26.8%,23,1.9%,575,48.7%,153,13.0%,120,10.2%,794,67.2%
20K104,P.S./I.S. 104 The Fort Hamilton School,2014-15,1199,0,125,108,130,128,110,128,159,156,155,0,0,0,0,566,47.2%,633,52.8%,252,21.0%,45,3.8%,300,25.0%,30,2.5%,572,47.7%,160,13.3%,120,10.0%,742,61.9%
20K105,P.S. 105 The Blythebourne,2010-11,1732,35,246,334,322,290,242,263,0,0,0,0,0,0,0,836,48.3%,896,51.7%,1564,90.3%,5,0.3%,87,5.0%,0,0.0%,76,4.4%,118,6.8%,1036,59.8%,1732,100.0%
20K105,P.S. 105 The Blythebourne,2011-12,1778,0,282,302,330,324,286,254,0,0,0,0,0,0,0,857,48.2%,921,51.8%,1634,91.9%,4,0.2%,79,4.4%,0,0.0%,61,3.4%,98,5.5%,1043,58.7%,1778,100.0%
20K105,P.S. 105 The Blythebourne,2012-13,1780,0,254,295,304,315,322,290,0,0,0,0,0,0,0,880,49.4%,900,50.6%,1652,92.8%,3,0.2%,72,4.0%,0,0.0%,53,3.0%,117,6.6%,1012,56.9%,1780,100.0%
20K105,P.S. 105 The Blythebourne,2013-14,1770,0,252,306,295,297,304,316,0,0,0,0,0,0,0,841,47.5%,929,52.5%,1643,92.8%,2,0.1%,76,4.3%,0,0.0%,49,2.8%,127,7.2%,996,56.3%,1770,100.0%
20K105,P.S. 105 The Blythebourne,2014-15,1733,0,250,283,303,305,300,292,0,0,0,0,0,0,0,838,48.4%,895,51.6%,1601,92.4%,2,0.1%,78,4.5%,1,0.1%,51,2.9%,100,5.8%,904,52.2%,1733,100.0%
20K112,P.S. 112 Lefferts Park,2010-11,492,0,83,86,64,82,95,82,0,0,0,0,0,0,0,251,51.0%,241,49.0%,235,47.8%,6,1.2%,122,24.8%,1,0.2%,128,26.0%,63,12.8%,93,18.9%,492,100.0%
20K112,P.S. 112 Lefferts Park,2011-12,521,0,105,91,81,69,83,92,0,0,0,0,0,0,0,249,47.8%,272,52.2%,233,44.7%,6,1.2%,138,26.5%,2,0.4%,142,27.3%,85,16.3%,93,17.9%,521,100.0%
20K112,P.S. 112 Lefferts Park,2012-13,531,0,97,112,85,77,73,87,0,0,0,0,0,0,0,257,48.4%,274,51.6%,234,44.1%,3,0.6%,141,26.6%,2,0.4%,151,28.4%,78,14.7%,107,20.2%,531,100.0%
20K112,P.S. 112 Lefferts Park,2013-14,530,0,86,94,103,89,78,80,0,0,0,0,0,0,0,254,47.9%,276,52.1%,231,43.6%,3,0.6%,155,29.2%,1,0.2%,140,26.4%,95,17.9%,103,19.4%,530,100.0%
20K112,P.S. 112 Lefferts Park,2014-15,559,0,99,91,93,99,94,83,0,0,0,0,0,0,0,262,46.9%,297,53.1%,242,43.3%,1,0.2%,169,30.2%,1,0.2%,146,26.1%,103,18.4%,128,22.9%,559,100.0%
20K127,P.S. 127 Mckinley Park,2010-11,482,0,94,101,80,87,63,57,0,0,0,0,0,0,0,227,47.1%,255,52.9%,64,13.3%,5,1.0%,104,21.6%,0,0.0%,309,64.1%,88,18.3%,96,19.9%,482,100.0%
20K127,P.S. 127 Mckinley Park,2011-12,523,0,93,89,98,88,87,68,0,0,0,0,0,0,0,252,48.2%,271,51.8%,68,13.0%,5,1.0%,116,22.2%,3,0.6%,331,63.3%,109,20.8%,87,16.6%,399,76.3%
20K127,P.S. 127 Mckinley Park,2012-13,537,0,95,91,89,92,85,85,0,0,0,0,0,0,0,254,47.3%,283,52.7%,68,12.7%,6,1.1%,120,22.3%,5,0.9%,338,62.9%,101,18.8%,92,17.1%,403,75.0%
20K127,P.S. 127 Mckinley Park,2013-14,518,0,81,91,86,89,88,83,0,0,0,0,0,0,0,240,46.3%,278,53.7%,87,16.8%,8,1.5%,120,23.2%,3,0.6%,300,57.9%,109,21.0%,102,19.7%,406,78.4%
20K127,P.S. 127 Mckinley Park,2014-15,519,0,94,77,89,91,87,81,0,0,0,0,0,0,0,247,47.6%,272,52.4%,129,24.9%,8,1.5%,117,22.5%,2,0.4%,263,50.7%,100,19.3%,140,27.0%,412,79.4%
20K160,P.S. 160 William T. Sampson,2010-11,898,36,131,151,152,161,140,127,0,0,0,0,0,0,0,428,47.7%,470,52.3%,645,71.8%,12,1.3%,170,18.9%,0,0.0%,71,7.9%,52,5.8%,566,63.0%,898,100.0%
20K160,P.S. 160 William T. Sampson,2011-12,886,0,138,153,160,146,163,126,0,0,0,0,0,0,0,402,45.4%,484,54.6%,649,73.3%,10,1.1%,157,17.7%,0,0.0%,70,7.9%,48,5.4%,549,62.0%,886,100.0%
20K160,P.S. 160 William T. Sampson,2012-13,1080,0,223,194,160,170,163,170,0,0,0,0,0,0,0,510,47.2%,570,52.8%,816,75.6%,9,0.8%,180,16.7%,3,0.3%,72,6.7%,81,7.5%,708,65.6%,1080,100.0%
20K160,P.S. 160 William T. Sampson,2013-14,1254,0,232,266,219,188,184,165,0,0,0,0,0,0,0,588,46.9%,666,53.1%,1017,81.1%,12,1.0%,154,12.3%,7,0.6%,64,5.1%,100,8.0%,864,68.9%,1254,100.0%
20K160,P.S. 160 William T. Sampson,2014-15,1335,0,231,276,243,216,185,184,0,0,0,0,0,0,0,625,46.8%,710,53.2%,1116,83.6%,10,0.7%,144,10.8%,3,0.2%,62,4.6%,112,8.4%,973,72.9%,1335,100.0%
20K163,P.S. 163 Bath Beach,2010-11,489,0,84,85,68,73,69,60,50,0,0,0,0,0,0,230,47.0%,259,53.0%,162,33.1%,2,0.4%,140,28.6%,0,0.0%,185,37.8%,82,16.8%,130,26.6%,388,79.3%
20K163,P.S. 163 Bath Beach,2011-12,574,0,62,91,85,77,75,72,60,52,0,0,0,0,0,253,44.1%,321,55.9%,177,30.8%,8,1.4%,171,29.8%,5,0.9%,213,37.1%,102,17.8%,146,25.4%,483,84.1%
20K163,P.S. 163 Bath Beach,2012-13,654,0,72,63,89,92,75,78,70,60,55,0,0,0,0,289,44.2%,365,55.8%,198,30.3%,4,0.6%,196,30.0%,6,0.9%,250,38.2%,129,19.7%,136,20.8%,551,84.3%
20K163,P.S. 163 Bath Beach,2013-14,625,0,46,74,59,88,90,78,66,65,59,0,0,0,0,284,45.4%,341,54.6%,180,28.8%,7,1.1%,190,30.4%,3,0.5%,245,39.2%,141,22.6%,113,18.1%,537,85.9%
20K163,P.S. 163 Bath Beach,2014-15,618,0,47,53,73,60,92,93,69,65,66,0,0,0,0,284,46.0%,334,54.0%,177,28.6%,3,0.5%,204,33.0%,5,0.8%,229,37.1%,131,21.2%,113,18.3%,505,81.7%
20K164,P.S. 164 Caesar Rodney,2010-11,517,54,99,89,87,62,69,57,0,0,0,0,0,0,0,250,48.4%,267,51.6%,145,28.0%,11,2.1%,291,56.3%,2,0.4%,68,13.2%,120,23.2%,119,23.0%,517,100.0%
20K164,P.S. 164 Caesar Rodney,2011-12,503,53,73,87,84,81,63,62,0,0,0,0,0,0,0,257,51.1%,246,48.9%,130,25.8%,8,1.6%,289,57.5%,4,0.8%,72,14.3%,110,21.9%,98,19.5%,503,100.0%
20K164,P.S. 164 Caesar Rodney,2012-13,514,49,86,79,82,77,79,62,0,0,0,0,0,0,0,255,49.6%,259,50.4%,134,26.1%,4,0.8%,303,58.9%,9,1.8%,64,12.5%,110,21.4%,109,21.2%,514,100.0%
20K164,P.S. 164 Caesar Rodney,2013-14,543,47,92,98,73,80,74,79,0,0,0,0,0,0,0,273,50.3%,270,49.7%,154,28.4%,9,1.7%,309,56.9%,13,2.4%,58,10.7%,105,19.3%,106,19.5%,543,100.0%
20K164,P.S. 164 Caesar Rodney,2014-15,569,46,111,85,106,70,80,71,0,0,0,0,0,0,0,275,48.3%,294,51.7%,183,32.2%,11,1.9%,292,51.3%,16,2.8%,67,11.8%,95,16.7%,103,18.1%,569,100.0%
20K170,Ralph A. Fabrizio School,2010-11,871,0,164,142,157,145,118,145,0,0,0,0,0,0,0,414,47.5%,457,52.5%,300,34.4%,13,1.5%,209,24.0%,1,0.1%,348,40.0%,100,11.5%,290,33.3%,871,100.0%
20K170,Ralph A. Fabrizio School,2011-12,888,0,165,165,141,159,143,115,0,0,0,0,0,0,0,427,48.1%,461,51.9%,330,37.2%,12,1.4%,189,21.3%,5,0.6%,352,39.6%,99,11.1%,329,37.0%,888,100.0%
20K170,Ralph A. Fabrizio School,2012-13,929,0,175,165,153,145,147,144,0,0,0,0,0,0,0,456,49.1%,473,50.9%,369,39.7%,12,1.3%,189,20.3%,5,0.5%,354,38.1%,116,12.5%,342,36.8%,929,100.0%
20K170,Ralph A. Fabrizio School,2013-14,936,0,166,174,165,140,145,146,0,0,0,0,0,0,0,444,47.4%,492,52.6%,402,42.9%,11,1.2%,187,20.0%,3,0.3%,333,35.6%,130,13.9%,355,37.9%,865,92.4%
20K170,Ralph A. Fabrizio School,2014-15,1002,0,166,172,176,176,159,153,0,0,0,0,0,0,0,472,47.1%,530,52.9%,431,43.0%,12,1.2%,195,19.5%,8,0.8%,356,35.5%,141,14.1%,381,38.0%,916,91.4%
20K176,P.S. 176 Ovington,2010-11,1225,0,208,226,209,196,186,200,0,0,0,0,0,0,0,610,49.8%,615,50.2%,659,53.8%,3,0.2%,196,16.0%,2,0.2%,365,29.8%,135,11.0%,277,22.6%,967,78.9%
20K176,P.S. 176 Ovington,2011-12,1287,0,251,215,224,199,200,198,0,0,0,0,0,0,0,631,49.0%,656,51.0%,721,56.0%,3,0.2%,220,17.1%,2,0.2%,341,26.5%,149,11.6%,242,18.8%,1078,83.8%
20K176,P.S. 176 Ovington,2012-13,1336,0,205,274,224,228,207,198,0,0,0,0,0,0,0,643,48.1%,693,51.9%,756,56.6%,6,0.4%,246,18.4%,3,0.2%,325,24.3%,148,11.1%,235,17.6%,1095,82.0%
20K176,P.S. 176 Ovington,2013-14,1414,0,203,253,272,232,231,223,0,0,0,0,0,0,0,691,48.9%,723,51.1%,830,58.7%,10,0.7%,284,20.1%,6,0.4%,284,20.1%,158,11.2%,248,17.5%,1185,83.8%
20K176,P.S. 176 Ovington,2014-15,1386,0,178,221,251,270,234,232,0,0,0,0,0,0,0,692,49.9%,694,50.1%,856,61.8%,7,0.5%,286,20.6%,6,0.4%,231,16.7%,138,10.0%,346,25.0%,1188,85.7%
20K179,P.S. 179 Kensington,2010-11,946,69,140,156,158,152,144,127,0,0,0,0,0,0,0,448,47.4%,498,52.6%,421,44.5%,63,6.7%,289,30.5%,5,0.5%,168,17.8%,107,11.3%,378,40.0%,946,100.0%
20K179,P.S. 179 Kensington,2011-12,966,71,159,140,154,147,153,142,0,0,0,0,0,0,0,456,47.2%,510,52.8%,436,45.1%,42,4.3%,303,31.4%,6,0.6%,179,18.5%,125,12.9%,401,41.5%,966,100.0%
20K179,P.S. 179 Kensington,2012-13,980,70,176,166,133,144,143,148,0,0,0,0,0,0,0,468,47.8%,512,52.2%,487,49.7%,33,3.4%,291,29.7%,11,1.1%,158,16.1%,137,14.0%,437,44.6%,980,100.0%
20K179,P.S. 179 Kensington,2013-14,993,71,176,172,153,143,136,142,0,0,0,0,0,0,0,485,48.8%,508,51.2%,549,55.3%,28,2.8%,263,26.5%,9,0.9%,144,14.5%,149,15.0%,451,45.4%,993,100.0%
20K179,P.S. 179 Kensington,2014-15,974,72,163,177,148,142,139,133,0,0,0,0,0,0,0,471,48.4%,503,51.6%,553,56.8%,28,2.9%,244,25.1%,9,0.9%,140,14.4%,134,13.8%,474,48.7%,974,100.0%
20K180,The SEEALL Academy,2010-11,1201,65,85,146,131,113,87,114,153,162,145,0,0,0,0,569,47.4%,632,52.6%,436,36.3%,20,1.7%,237,19.7%,8,0.7%,500,41.6%,187,15.6%,219,18.2%,894,74.4%
20K180,The SEEALL Academy,2011-12,1185,67,96,85,132,128,114,89,157,152,165,0,0,0,0,545,46.0%,640,54.0%,432,36.5%,14,1.2%,235,19.8%,15,1.3%,489,41.3%,172,14.5%,206,17.4%,953,80.4%
20K180,The SEEALL Academy,2012-13,1160,59,91,102,93,127,128,117,141,150,152,0,0,0,0,521,44.9%,639,55.1%,466,40.2%,14,1.2%,250,21.6%,12,1.0%,418,36.0%,164,14.1%,251,21.6%,961,82.8%
20K180,The SEEALL Academy,2013-14,1153,56,97,95,115,90,127,126,162,135,150,0,0,0,0,517,44.8%,636,55.2%,500,43.4%,15,1.3%,267,23.2%,14,1.2%,357,31.0%,168,14.6%,270,23.4%,1001,86.8%
20K180,The SEEALL Academy,2014-15,1151,54,102,100,95,99,90,132,185,160,134,0,0,0,0,520,45.2%,631,54.8%,501,43.5%,14,1.2%,300,26.1%,15,1.3%,321,27.9%,159,13.8%,275,23.9%,998,86.7%
20K185,P.S. 185 Walter Kassenbrock,2010-11,822,0,114,147,147,140,134,140,0,0,0,0,0,0,0,390,47.4%,432,52.6%,100,12.2%,9,1.1%,135,16.4%,6,0.7%,572,69.6%,86,10.5%,116,14.1%,822,100.0%
20K185,P.S. 185 Walter Kassenbrock,2011-12,787,0,124,99,154,143,139,128,0,0,0,0,0,0,0,355,45.1%,432,54.9%,62,7.9%,0,0.0%,115,14.6%,0,0.0%,610,77.5%,86,10.9%,85,10.8%,787,100.0%
20K185,P.S. 185 Walter Kassenbrock,2012-13,764,0,119,120,103,141,138,143,0,0,0,0,0,0,0,369,48.3%,395,51.7%,61,8.0%,0,0.0%,106,13.9%,0,0.0%,597,78.1%,97,12.7%,61,8.0%,337,44.1%
20K185,P.S. 185 Walter Kassenbrock,2013-14,723,0,104,119,112,111,138,139,0,0,0,0,0,0,0,354,49.0%,369,51.0%,58,8.0%,1,0.1%,108,14.9%,1,0.1%,555,76.8%,94,13.0%,49,6.8%,328,45.4%
20K185,P.S. 185 Walter Kassenbrock,2014-15,716,0,129,103,122,114,114,134,0,0,0,0,0,0,0,349,48.7%,367,51.3%,59,8.2%,2,0.3%,108,15.1%,7,1.0%,540,75.4%,96,13.4%,49,6.8%,307,42.9%
20K186,P.S. 186 Dr. Irving A Gladstone,2010-11,934,72,158,141,133,129,144,157,0,0,0,0,0,0,0,462,49.5%,472,50.5%,361,38.7%,2,0.2%,236,25.3%,1,0.1%,334,35.8%,117,12.5%,220,23.6%,934,100.0%
20K186,P.S. 186 Dr. Irving A Gladstone,2011-12,955,72,168,161,136,146,129,143,0,0,0,0,0,0,0,469,49.1%,486,50.9%,375,39.3%,2,0.2%,250,26.2%,0,0.0%,328,34.3%,121,12.7%,222,23.2%,955,100.0%
20K186,P.S. 186 Dr. Irving A Gladstone,2012-13,940,36,146,175,165,137,149,132,0,0,0,0,0,0,0,468,49.8%,472,50.2%,370,39.4%,3,0.3%,232,24.7%,1,0.1%,334,35.5%,119,12.7%,248,26.4%,940,100.0%
20K186,P.S. 186 Dr. Irving A Gladstone,2013-14,958,36,149,139,172,169,139,154,0,0,0,0,0,0,0,487,50.8%,471,49.2%,384,40.1%,2,0.2%,240,25.1%,1,0.1%,331,34.6%,141,14.7%,225,23.5%,958,100.0%
20K186,P.S. 186 Dr. Irving A Gladstone,2014-15,993,36,181,162,139,179,161,135,0,0,0,0,0,0,0,484,48.7%,509,51.3%,396,39.9%,3,0.3%,272,27.4%,2,0.2%,320,32.2%,134,13.5%,247,24.9%,993,100.0%
20K187,The Christa McAuliffe School\I.S. 187,2010-11,996,0,0,0,0,0,0,0,320,371,305,0,0,0,0,513,51.5%,483,48.5%,658,66.1%,6,0.6%,34,3.4%,0,0.0%,298,29.9%,34,3.4%,18,1.8%,656,65.9%
20K187,The Christa McAuliffe School\I.S. 187,2011-12,964,0,0,0,0,0,0,0,301,301,362,0,0,0,0,503,52.2%,461,47.8%,673,69.8%,5,0.5%,29,3.0%,0,0.0%,257,26.7%,31,3.2%,17,1.8%,641,66.5%
20K187,The Christa McAuliffe School\I.S. 187,2012-13,911,0,0,0,0,0,0,0,320,291,300,0,0,0,0,463,50.8%,448,49.2%,660,72.4%,6,0.7%,29,3.2%,1,0.1%,215,23.6%,50,5.5%,20,2.2%,612,67.2%
20K187,The Christa McAuliffe School\I.S. 187,2013-14,970,0,0,0,0,0,0,0,372,310,288,0,0,0,0,484,49.9%,486,50.1%,714,73.6%,6,0.6%,40,4.1%,1,0.1%,209,21.5%,69,7.1%,19,2.0%,636,65.6%
20K187,The Christa McAuliffe School\I.S. 187,2014-15,1018,0,0,0,0,0,0,0,349,361,308,0,0,0,0,503,49.4%,515,50.6%,715,70.2%,6,0.6%,54,5.3%,8,0.8%,235,23.1%,82,8.1%,24,2.4%,645,63.4%
20K192,P.S. 192 - The Magnet School for Math and Science,2010-11,640,53,64,61,56,64,54,70,70,73,75,0,0,0,0,293,45.8%,347,54.2%,119,18.6%,26,4.1%,324,50.6%,2,0.3%,169,26.4%,172,26.9%,218,34.1%,640,100.0%
20K192,P.S. 192 - The Magnet School for Math and Science,2011-12,645,51,68,67,59,60,60,58,75,78,69,0,0,0,0,315,48.8%,330,51.2%,104,16.1%,28,4.3%,316,49.0%,3,0.5%,194,30.1%,140,21.7%,194,30.1%,645,100.0%
20K192,P.S. 192 - The Magnet School for Math and Science,2012-13,640,52,72,67,74,58,55,59,54,75,74,0,0,0,0,305,47.7%,335,52.3%,77,12.0%,19,3.0%,311,48.6%,3,0.5%,230,35.9%,143,22.3%,184,28.7%,640,100.0%
20K192,P.S. 192 - The Magnet School for Math and Science,2013-14,617,48,64,70,68,74,58,54,63,51,67,0,0,0,0,290,47.0%,327,53.0%,132,21.4%,16,2.6%,315,51.1%,1,0.2%,153,24.8%,139,22.5%,177,28.7%,617,100.0%
20K192,P.S. 192 - The Magnet School for Math and Science,2014-15,662,54,99,69,70,69,77,59,53,62,50,0,0,0,0,322,48.6%,340,51.4%,137,20.7%,16,2.4%,342,51.7%,2,0.3%,165,24.9%,147,22.2%,190,28.7%,662,100.0%
20K200,P.S. 200 Benson School,2010-11,1329,71,205,229,178,222,212,212,0,0,0,0,0,0,0,649,48.8%,680,51.2%,422,31.8%,15,1.1%,254,19.1%,5,0.4%,633,47.6%,86,6.5%,214,16.1%,990,74.5%
20K200,P.S. 200 Benson School,2011-12,1344,71,213,239,205,191,216,209,0,0,0,0,0,0,0,651,48.4%,693,51.6%,436,32.4%,24,1.8%,258,19.2%,7,0.5%,619,46.1%,112,8.3%,235,17.5%,1023,76.1%
20K200,P.S. 200 Benson School,2012-13,1339,71,196,241,218,197,197,219,0,0,0,0,0,0,0,644,48.1%,695,51.9%,442,33.0%,19,1.4%,276,20.6%,10,0.7%,592,44.2%,123,9.2%,234,17.5%,1039,77.6%
20K200,P.S. 200 Benson School,2013-14,1335,72,213,224,218,221,200,187,0,0,0,0,0,0,0,621,46.5%,714,53.5%,421,31.5%,11,0.8%,297,22.2%,15,1.1%,591,44.3%,130,9.7%,237,17.8%,1046,78.4%
20K200,P.S. 200 Benson School,2014-15,1344,72,211,207,217,214,220,203,0,0,0,0,0,0,0,631,46.9%,713,53.1%,445,33.1%,11,0.8%,291,21.7%,15,1.1%,582,43.3%,141,10.5%,283,21.1%,1056,78.6%
20K201,J.H.S. 201 The Dyker Heights,2010-11,1495,0,0,0,0,0,0,0,505,500,490,0,0,0,0,665,44.5%,830,55.5%,666,44.5%,10,0.7%,262,17.5%,1,0.1%,556,37.2%,165,11.0%,161,10.8%,1182,79.1%
20K201,J.H.S. 201 The Dyker Heights,2011-12,1517,0,0,0,0,0,0,0,499,507,511,0,0,0,0,686,45.2%,831,54.8%,709,46.7%,13,0.9%,239,15.8%,1,0.1%,555,36.6%,166,10.9%,153,10.1%,1185,78.1%
20K201,J.H.S. 201 The Dyker Heights,2012-13,1489,0,0,0,0,0,0,0,455,516,518,0,0,0,0,692,46.5%,797,53.5%,683,45.9%,11,0.7%,216,14.5%,6,0.4%,573,38.5%,164,11.0%,145,9.7%,1150,77.2%
20K201,J.H.S. 201 The Dyker Heights,2013-14,1437,0,0,0,0,0,0,0,452,453,532,0,0,0,0,694,48.3%,743,51.7%,669,46.6%,10,0.7%,188,13.1%,5,0.3%,565,39.3%,164,11.4%,132,9.2%,1079,75.1%
20K201,J.H.S. 201 The Dyker Heights,2014-15,1420,0,0,0,0,0,0,0,479,478,463,0,0,0,0,679,47.8%,741,52.2%,638,44.9%,7,0.5%,202,14.2%,7,0.5%,566,39.9%,166,11.7%,128,9.0%,1047,73.7%
20K204,P.S. 204 Vince Lombardi,2010-11,1083,72,187,176,159,187,137,165,0,0,0,0,0,0,0,518,47.8%,565,52.2%,435,40.2%,5,0.5%,156,14.4%,0,0.0%,487,45.0%,124,11.4%,110,10.2%,1083,100.0%
20K204,P.S. 204 Vince Lombardi,2011-12,1123,72,201,177,178,159,187,149,0,0,0,0,0,0,0,557,49.6%,566,50.4%,470,41.9%,7,0.6%,177,15.8%,4,0.4%,465,41.4%,143,12.7%,82,7.3%,1123,100.0%
20K204,P.S. 204 Vince Lombardi,2012-13,1158,72,167,199,184,184,167,185,0,0,0,0,0,0,0,571,49.3%,587,50.7%,493,42.6%,6,0.5%,190,16.4%,3,0.3%,466,40.2%,152,13.1%,86,7.4%,816,70.5%
20K204,P.S. 204 Vince Lombardi,2013-14,1166,72,185,172,205,179,176,177,0,0,0,0,0,0,0,572,49.1%,594,50.9%,516,44.3%,6,0.5%,207,17.8%,7,0.6%,430,36.9%,166,14.2%,107,9.2%,873,74.9%
20K204,P.S. 204 Vince Lombardi,2014-15,1183,72,198,187,171,203,176,176,0,0,0,0,0,0,0,586,49.5%,597,50.5%,540,45.6%,5,0.4%,220,18.6%,5,0.4%,413,34.9%,169,14.3%,133,11.2%,895,75.7%
20K205,P.S. 205 Clarion,2010-11,911,71,151,114,163,137,147,128,0,0,0,0,0,0,0,435,47.7%,476,52.3%,414,45.4%,7,0.8%,206,22.6%,5,0.5%,279,30.6%,175,19.2%,283,31.1%,911,100.0%
20K205,P.S. 205 Clarion,2011-12,936,71,154,155,109,163,136,148,0,0,0,0,0,0,0,443,47.3%,493,52.7%,417,44.6%,10,1.1%,227,24.3%,4,0.4%,278,29.7%,194,20.7%,291,31.1%,936,100.0%
20K205,P.S. 205 Clarion,2012-13,997,72,181,169,164,113,159,139,0,0,0,0,0,0,0,483,48.4%,514,51.6%,453,45.4%,9,0.9%,228,22.9%,4,0.4%,303,30.4%,179,18.0%,318,31.9%,997,100.0%
20K205,P.S. 205 Clarion,2013-14,1098,72,187,219,175,156,127,162,0,0,0,0,0,0,0,534,48.6%,564,51.4%,542,49.4%,7,0.6%,230,20.9%,3,0.3%,316,28.8%,195,17.8%,308,28.1%,1098,100.0%
20K205,P.S. 205 Clarion,2014-15,1148,72,211,194,218,176,149,128,0,0,0,0,0,0,0,558,48.6%,590,51.4%,610,53.1%,8,0.7%,235,20.5%,1,0.1%,294,25.6%,173,15.1%,323,28.1%,1148,100.0%
20K220,J.H.S. 220 John J. Pershing,2010-11,1295,0,0,0,0,0,0,0,386,409,500,0,0,0,0,621,48.0%,674,52.0%,687,53.1%,25,1.9%,511,39.5%,3,0.2%,69,5.3%,176,13.6%,611,47.2%,1295,100.0%
20K220,J.H.S. 220 John J. Pershing,2011-12,1261,0,0,0,0,0,0,0,427,404,430,0,0,0,0,593,47.0%,668,53.0%,642,50.9%,23,1.8%,518,41.1%,1,0.1%,77,6.1%,155,12.3%,546,43.3%,1261,100.0%
20K220,J.H.S. 220 John J. Pershing,2012-13,1318,0,0,0,0,0,0,0,458,430,430,0,0,0,0,631,47.9%,687,52.1%,619,47.0%,27,2.0%,583,44.2%,0,0.0%,89,6.8%,193,14.6%,474,36.0%,1318,100.0%
20K220,J.H.S. 220 John J. Pershing,2013-14,1400,0,0,0,0,0,0,0,443,471,486,0,0,0,0,629,44.9%,771,55.1%,656,46.9%,22,1.6%,631,45.1%,0,0.0%,91,6.5%,199,14.2%,533,38.1%,1400,100.0%
20K220,J.H.S. 220 John J. Pershing,2014-15,1375,0,0,0,0,0,0,0,472,431,472,0,0,0,0,641,46.6%,734,53.4%,595,43.3%,17,1.2%,624,45.4%,0,0.0%,139,10.1%,214,15.6%,480,34.9%,1375,100.0%
20K223,J.H.S. 223 The Montauk,2010-11,619,0,0,0,0,0,0,0,219,183,217,0,0,0,0,280,45.2%,339,54.8%,228,36.8%,56,9.0%,221,35.7%,2,0.3%,112,18.1%,90,14.5%,251,40.5%,562,90.8%
20K223,J.H.S. 223 The Montauk,2011-12,710,0,0,0,0,0,0,0,293,216,201,0,0,0,0,337,47.5%,373,52.5%,289,40.7%,75,10.6%,238,33.5%,2,0.3%,106,14.9%,108,15.2%,263,37.0%,670,94.4%
20K223,J.H.S. 223 The Montauk,2012-13,834,0,0,0,0,0,0,0,282,301,251,0,0,0,0,408,48.9%,426,51.1%,399,47.8%,84,10.1%,244,29.3%,4,0.5%,103,12.4%,109,13.1%,315,37.8%,792,95.0%
20K223,J.H.S. 223 The Montauk,2013-14,942,0,0,0,0,0,0,0,330,282,330,0,0,0,0,461,48.9%,481,51.1%,511,54.2%,75,8.0%,261,27.7%,2,0.2%,93,9.9%,129,13.7%,352,37.4%,890,94.5%
